applicant_id,application_date,decision_date,visa_status,nationality,processing_center,job_title,job_info_education,naics_title,annual_income_usd,processing_time_days,application_date_year,application_date_month,application_date_day,application_date_dayofweek,decision_date_year,decision_date_month,decision_date_day,decision_date_dayofweek,annual_income_usd_to_processing_time_days_ratio,applicant_id_frequency,visa_status_frequency,nationality_frequency
A-16034-68456,2016-04-05,2016-07-08,Certified,INDIA,WA,Network Engineer II,Master's,Custom Computer Programming Services,75525.0,94,2016,4,5,1,2016,7,8,4,795.0,1,4398,4703
A-16070-82715,2016-04-13,2016-11-28,Certified,INDIA,NJ,SOFTWARE ENGINEER,Bachelor's,Custom Computer Programming Services,123490.0,229,2016,4,13,2,2016,11,28,0,536.9130434782609,1,4398,4703
A-15226-08662,2015-08-22,2016-02-09,Certified-Expired,SOUTH KOREA,IL,Wig Dresser,Master's,Custom Computer Programming Services,28933.0,171,2015,8,22,5,2016,2,9,1,168.21511627906978,1,3341,617
A-15323-41787,2016-01-26,2016-05-11,Certified,INDIA,CA,Operations Database Administrator,Bachelor's,Custom Computer Programming Services,128939.0,106,2016,1,26,1,2016,5,11,2,1205.03738317757,1,4398,4703
A-14328-28275,2014-12-05,2015-07-10,Certified,INDIA,CALIFORNIA,Technical Solutions Engineer,Master's,Custom Computer Programming Services,110000.0,217,2014,12,5,4,2015,7,10,4,504.58715596330273,1,4398,4703
A-14258-06935,2014-10-21,2015-04-13,Certified,INDIA,VIRGINIA,Sr. Software Engineer,Bachelor's,Other Computer Related Services,95160.0,174,2014,10,21,1,2015,4,13,0,543.7714285714286,1,4398,4703
A-15292-29989,2015-11-18,2016-04-20,Withdrawn,INDIA,NJ,Sr. Software Engineer or,Master's,Custom Computer Programming Services,83741.0,154,2015,11,18,2,2016,4,20,2,540.2645161290322,1,361,4703
A-15125-73218,2015-05-15,2015-11-19,Certified-Expired,INDIA,GA,Senior Technology Consultant,Bachelor's,Custom Computer Programming Services,91499.0,188,2015,5,15,4,2015,11,19,3,484.1216931216931,1,3341,4703
A-15170-89103,2015-06-29,2015-12-22,Certified-Expired,INDIA,TX,Embedded Networking Software Engineer,Master's,Custom Computer Programming Services,97178.0,176,2015,6,29,0,2015,12,22,1,549.0282485875706,1,3341,4703
A-14337-30249,2014-12-04,2015-07-09,Certified,NEPAL,CONNECTICUT,Human Resources Manager,Master's,Custom Computer Programming Services,75000.0,217,2014,12,4,3,2015,7,9,3,344.0366972477064,1,4398,61
A-15133-75900,2015-06-23,2015-12-08,Certified-Expired,CANADA,IN,Global Order to Cash Process Lead Supply Chain,Bachelor's,Custom Computer Programming Services,86000.0,168,2015,6,23,1,2015,12,8,1,508.8757396449704,1,3341,280
A-15183-94358,2015-06-26,2015-10-16,Denied,CHINA,PR,COOK-CHINESE,Master's,Custom Computer Programming Services,93101.0,112,2015,6,26,4,2015,10,16,4,823.9026548672566,1,225,750
A-15268-22131,2015-10-27,2016-03-15,Certified-Expired,INDIA,WI,Software Developer,Bachelor's,Custom Computer Programming Services,90000.0,140,2015,10,27,1,2016,3,15,1,638.2978723404256,1,3341,4703
A-16102-95783,2016-04-11,2016-07-20,Certified,CANADA,HI,Director - Solutions Engineering,Bachelor's,Custom Computer Programming Services,98134.0,100,2016,4,11,0,2016,7,20,2,971.6237623762377,1,4398,280
A-15335-44777,2015-12-10,2016-05-05,Certified,INDIA,NJ,Senior Software Engineer,Master's,Custom Computer Programming Services,108482.0,147,2015,12,10,3,2016,5,5,3,732.9864864864865,1,4398,4703
A-14174-81090,2014-06-25,2014-11-13,Certified-Expired,MEXICO,CALIFORNIA,Process/Specialty Engineer IV,Bachelor's,Other Heavy and Civil Engineering Construction,115257.0,141,2014,6,25,2,2014,11,13,3,811.669014084507,1,3341,173
A-16138-11287,2016-06-03,2016-08-31,Certified,INDIA,CA,Senior Information Security Analyst,Bachelor's,Custom Computer Programming Services,117000.0,89,2016,6,3,4,2016,8,31,2,1300.0,1,4398,4703
A-15039-49062,2015-04-16,2015-10-16,Certified-Expired,INDIA,CA,Senior Programmer Analysts,Master's,Custom Computer Programming Services,108763.0,183,2015,4,16,3,2015,10,16,4,591.1032608695652,1,3341,4703
A-14308-22487,2014-11-17,2015-05-07,Certified,NEPAL,TEXAS,Computer Systems Analyst,Master's,Computer Systems Design and Related Services,78000.0,171,2014,11,17,0,2015,5,7,3,453.48837209302326,1,4398,61
A-15355-53430,2016-02-23,2016-06-02,Certified,INDIA,TN,Sr. Product Design Engineer,Bachelor's,Custom Computer Programming Services,79102.0,100,2016,2,23,1,2016,6,2,3,783.1881188118812,1,4398,4703
A-15131-75133,2015-05-12,2015-11-19,Certified-Expired,SOUTH KOREA,NC,Production Line Worker,Master's,Custom Computer Programming Services,93101.0,191,2015,5,12,1,2015,11,19,3,484.9010416666667,1,3341,617
A-16021-63450,2016-02-04,2016-06-02,Certified,INDIA,NC,Staff Software Engineer,Master's,Custom Computer Programming Services,76482.0,119,2016,2,4,3,2016,6,2,3,637.35,1,4398,4703
A-15351-52334,2015-12-17,2016-07-19,Certified,SOUTH KOREA,AL,PLANT LABORER,Bachelor's,Custom Computer Programming Services,19053.0,215,2015,12,17,3,2016,7,19,1,88.20833333333333,1,4398,617
A-14323-27001,2014-12-03,2014-12-05,Withdrawn,MEXICO,CONNECTICUT,Executive Finance Analyst,Master's,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,140000.0,2,2014,12,3,2,2014,12,5,4,46666.666666666664,1,361,173
A-15043-50240,2015-02-12,2015-08-28,Certified,INDIA,TEXAS,Computer Systems Analyst - V,Bachelor's,Computer Systems Design Services,76378.0,197,2015,2,12,3,2015,8,28,4,385.74747474747477,1,4398,4703
A-16042-72235,2016-03-02,2016-08-23,Certified,INDIA,FL,"Senior Analyst, Java Programmer",Bachelor's,Custom Computer Programming Services,72543.0,174,2016,3,2,2,2016,8,23,1,414.5314285714286,1,4398,4703
A-16006-57697,2016-01-26,2016-09-12,Denied,MEXICO,TX,Secondary CTE Teacher,Bachelor's,Custom Computer Programming Services,43730.0,230,2016,1,26,1,2016,9,12,0,189.30735930735932,1,225,173
A-14134-69207,2014-06-09,2014-11-03,Certified-Expired,SOUTH KOREA,TEXAS,MARKETING MANAGER,Bachelor's,Janitorial Services,160560.0,147,2014,6,9,0,2014,11,3,0,1084.8648648648648,1,3341,617
A-15070-57759,2015-05-07,2015-11-19,Certified-Expired,INDIA,TN,Director of Software Development,Bachelor's,Custom Computer Programming Services,129438.0,196,2015,5,7,3,2015,11,19,3,657.0456852791879,1,3341,4703
A-15271-22321,2015-09-30,2016-02-12,Certified-Expired,INDIA,MA,Senior Software Engineer,Master's,Custom Computer Programming Services,105560.0,135,2015,9,30,2,2016,2,12,4,776.1764705882352,1,3341,4703
A-14156-75436,2014-08-11,2015-01-20,Certified-Expired,INDIA,CALIFORNIA,"Engineer II, Software",Master's,"Research and Development in the Physical, Engineering, and Life Sciences",82430.0,162,2014,8,11,0,2015,1,20,1,505.70552147239266,1,3341,4703
A-16141-12718,2016-07-22,2016-09-30,Certified,INDIA,OH,Sr. Software Developer RMS,Bachelor's,Custom Computer Programming Services,102794.0,70,2016,7,22,4,2016,9,30,4,1447.8028169014085,1,4398,4703
A-14140-70829,2014-06-13,2014-10-30,Certified-Expired,INDIA,IOWA,Senior .Net Developer,Master's,Custom Computer Programming Services,87000.0,139,2014,6,13,4,2014,10,30,3,621.4285714285714,1,3341,4703
A-14211-94055,2014-08-13,2015-01-12,Certified-Expired,INDIA,CALIFORNIA,Software Engineer,Master's,Electronic Computer Manufacturing,98927.0,152,2014,8,13,2,2015,1,12,0,646.5816993464052,1,3341,4703
A-15260-18552,2015-09-10,2015-09-17,Denied,MEXICO,CALIFORNIA,"GROOM, THOROUGHBRED HORSES",Master's,Custom Computer Programming Services,93101.0,7,2015,9,10,3,2015,9,17,3,11637.625,1,225,173
A-15058-54698,2015-03-06,2015-09-30,Certified,INDIA,CALIFORNIA,Senior Software Engineer/SW Systems,Master's,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,94432.0,208,2015,3,6,4,2015,9,30,2,451.82775119617224,1,4398,4703
A-15170-89058,2015-07-06,2016-01-11,Certified-Expired,INDIA,IL,Senior Software Engineer,Bachelor's,Custom Computer Programming Services,115000.0,189,2015,7,6,0,2016,1,11,0,605.2631578947369,1,3341,4703
A-14211-93946,2014-08-07,2015-01-12,Certified-Expired,INDIA,CALIFORNIA,Lead Programmer Analyst,Master's,Internet Publishing and Broadcasting,89502.0,158,2014,8,7,3,2015,1,12,0,562.9056603773585,1,3341,4703
A-15043-50279,2015-02-06,2015-08-28,Denied,CANADA,CALIFORNIA,PHYSICIST,Bachelor's,Custom Computer Programming Services,108846.0,203,2015,2,6,4,2015,8,28,4,533.5588235294117,1,225,280
A-14266-09249,2014-09-25,2015-02-13,Certified-Expired,CHINA,INDIANA,Supply Chain Leader,Master's,"Engine, Turbine, and Power Transmission Equipment Manufacturing",96429.0,141,2014,9,25,3,2015,2,13,4,679.0774647887324,1,3341,750
A-14175-81332,2014-08-25,2015-01-09,Certified-Expired,INDIA,CALIFORNIA,Member of Technical Staff - Software Engineer,Master's,Custom Computer Programming Services,98675.0,137,2014,8,25,0,2015,1,9,4,715.036231884058,1,3341,4703
A-15266-21009,2015-09-24,2016-02-25,Certified-Expired,ETHIOPIA,NE,Assistant Professor,Doctorate,Custom Computer Programming Services,83000.0,154,2015,9,24,3,2016,2,25,3,535.483870967742,1,3341,2
A-15013-41617,2014-12-29,2015-03-02,Denied,RUSSIA,FLORIDA,SOCIAL SERVICES DIRECTOR,Master's,All Other Outpatient Care Centers,38000.0,63,2014,12,29,0,2015,3,2,0,593.75,1,225,56
A-16137-10580,2016-05-16,2016-08-08,Certified,SOUTH KOREA,AR,Poultry Processing Worker,Master's,Custom Computer Programming Services,21840.0,84,2016,5,16,0,2016,8,8,0,256.94117647058823,1,4398,617
A-15358-54470,2016-01-21,2016-05-16,Certified,CANADA,PR,Associate Professor,Doctorate,Custom Computer Programming Services,78756.0,116,2016,1,21,3,2016,5,16,0,673.1282051282051,1,4398,280
A-14291-17047,2014-10-25,2015-03-20,Certified-Expired,INDIA,CALIFORNIA,Software Engineer,Master's,Semiconductor and Other Electronic Component Manufacturing,82077.0,146,2014,10,25,5,2015,3,20,4,558.3469387755102,1,3341,4703
A-15284-27169,2015-10-23,2016-03-09,Certified-Expired,INDIA,NJ,Business Analyst I (multiple positions),Bachelor's,Custom Computer Programming Services,63086.0,138,2015,10,23,4,2016,3,9,2,453.8561151079137,1,3341,4703
A-16162-20563,2016-07-08,2016-10-07,Certified,POLAND,WA,Senior Software Engineer,Master's,Custom Computer Programming Services,150000.0,91,2016,7,8,4,2016,10,7,4,1630.4347826086957,1,4398,30
A-15132-75566,2015-06-25,2015-12-08,Certified-Expired,INDIA,OH,Datastage Developer,Master's,Custom Computer Programming Services,95077.0,166,2015,6,25,3,2015,12,8,1,569.3233532934132,1,3341,4703
A-14260-07681,2014-09-26,2015-02-20,Certified-Expired,INDIA,LOUISIANA,Facilities Engineer,Master's,Engineering Services,87360.0,147,2014,9,26,4,2015,2,20,4,590.2702702702703,1,3341,4703
A-14285-15102,2014-12-15,2015-06-24,Certified,INDIA,CALIFORNIA,Sharepoint Systems Administrator,Master's,Custom Computer Programming Services,81286.0,191,2014,12,15,0,2015,6,24,2,423.3645833333333,1,4398,4703
A-16097-93527,2016-04-06,2016-07-18,Certified,INDIA,VA,SR. PROGRAMMER ANALYST,Bachelor's,Custom Computer Programming Services,127379.0,103,2016,4,6,2,2016,7,18,0,1224.798076923077,1,4398,4703
A-14314-24132,2014-12-08,2015-06-29,Certified,INDIA,NEW JERSEY,Sales Manager,Bachelor's,Other Computer Related Services,128170.0,203,2014,12,8,0,2015,6,29,0,628.2843137254902,1,4398,4703
A-14339-31276,2014-12-08,2015-06-18,Certified,INDIA,MASSACHUSETTS,Senior Applications Support Analyst,Master's,Custom Computer Programming Services,90000.0,192,2014,12,8,0,2015,6,18,3,466.32124352331607,1,4398,4703
A-14324-27454,2015-02-06,2015-08-28,Certified,INDIA,CALIFORNIA,ASIC Design Engineer,Master's,Electronic Computer Manufacturing,114400.0,203,2015,2,6,4,2015,8,28,4,560.7843137254902,1,4398,4703
A-16215-38359,2016-08-08,2016-10-27,Certified,INDIA,IA,SR. JAVA DEVELOPER,Master's,Custom Computer Programming Services,70366.0,80,2016,8,8,0,2016,10,27,3,868.716049382716,1,4398,4703
A-15141-78641,2015-06-02,2015-12-11,Certified-Expired,UKRAINE,CA,Systems Administrator,Master's,Custom Computer Programming Services,160000.0,192,2015,6,2,1,2015,12,11,4,829.0155440414508,1,3341,43
A-14325-27930,2015-08-12,2016-02-03,Certified-Expired,INDIA,CA,Software Engineer,Master's,Custom Computer Programming Services,99379.0,175,2015,8,12,2,2016,2,3,2,564.6534090909091,1,3341,4703
A-15112-69537,2015-04-23,2015-10-21,Certified-Expired,MEXICO,AZ,Automotive MOSFET Marketing Manager,Master's,Custom Computer Programming Services,89357.0,181,2015,4,23,3,2015,10,21,2,490.9725274725275,1,3341,173
A-14315-24528,2014-11-21,2015-05-14,Certified,TAIWAN,CALIFORNIA,Graphics Software Engineer,Master's,Semiconductor and Other Electronic Component Manufacturing,95938.0,174,2014,11,21,4,2015,5,14,3,548.2171428571429,1,4398,84
A-15129-74921,2015-07-12,2016-01-05,Certified-Expired,INDIA,CA,System Validation Engineer,Master's,Custom Computer Programming Services,90043.0,177,2015,7,12,6,2016,1,5,1,505.85955056179773,1,3341,4703
A-15226-08644,2015-10-06,2016-03-08,Certified-Expired,INDIA,TX,Project Manager - U.S.,Master's,Custom Computer Programming Services,85571.0,154,2015,10,6,1,2016,3,8,1,552.0709677419355,1,3341,4703
A-14308-22200,2015-02-17,2015-09-14,Certified,INDIA,NEW YORK,Sr. Analyst/Developer,Master's,Investment Banking and Securities Dealing,108500.0,209,2015,2,17,1,2015,9,14,0,516.6666666666666,1,4398,4703
A-15203-00912,2015-07-22,2016-01-05,Certified-Expired,CHINA,NY,Food Service Supervisor,Master's,Custom Computer Programming Services,46592.0,167,2015,7,22,2,2016,1,5,1,277.3333333333333,1,3341,750
A-14153-74214,2014-06-02,2014-12-05,Certified-Expired,INDIA,CALIFORNIA,software engineer,Master's,Custom Computer Programming Services,89502.0,186,2014,6,2,0,2014,12,5,4,478.620320855615,1,3341,4703
A-15223-07243,2015-08-28,2016-01-27,Certified-Expired,INDIA,OH,IS Technical Specialist,Master's,Custom Computer Programming Services,86000.0,152,2015,8,28,4,2016,1,27,2,562.0915032679738,1,3341,4703
